sentence_id,sentence,extraction_id_1,extraction_1,extraction_id_2,extraction_2
95,"Kostabi \'s other releases include : \`\` Songs For Sumera \'\' , \`\` New Alliance \'\' and \`\` The Spectre Of Modernism \'\' .",95a,"Kostabi \'s other releases; include; Songs For Sumera \'\' , \`\` New Alliance \'\' and \`\` The Spectre Of Modernism",95b,Kostabi \'s other releases; include; Songs For Sumera&#10;Kostabi \'s other releases; include; New Alliance&#10;Kostabi \'s other releases; include; The Spectre Of Modernism
30,"Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .",30a,"Beuerlein; was; red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs&#10;Beuerlein; connecting; on 29 of 42 attempts&#10;Beuerlein 42 attempts 3 TDs and no INTs; passing; for a then franchise-record 373 yards",30b,"Beuerlein; was; red-hot , out-dueling Brett Favre&#10;Beuerlein; passing; for a then franchise-record 373 yards&#10;Beuerlein; connecting; on 29 of 42 attempts with 3 TDs&#10;Beuerlein; was; red-hot&#10;Beuerlein; connecting; on 29 of 42 attempts , with no INTs"
32,"Dr. Pim played for Ireland against England in 1892 , 1893 , 1894 and 1896 .",32a,Dr. Pim; played; for Ireland against England in 1892,32b,Dr. Pim; played; for Ireland against England in 1892&#10;Dr. Pim; played; for Ireland against England in 1893&#10;Dr. Pim; played; for Ireland against England in 1894&#10;Dr. Pim; played; for Ireland against England in 1896
92,"John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .",92a,the Yellow Central Power Battery; were detonated; next to the Anti-Monitor a&#10;even this; contained; by a shield him&#10;a shield; created; by hundreds of Green Lanterns to contain the explosion to kill him&#10;even this; contain was not; the explosion enough to kill him&#10;John Stewart and Guy Gardner; brought down; New Warworld and the Yellow Central Power Battery,92b,John Stewart even this; was not; New Warworld enough to kill him&#10;John Stewart; brought; down New Warworld&#10;Stewart even this; to kill; Yellow Central Power Battery him&#10;John Stewart; brought; down the Yellow Central Power Battery&#10;New Warworld; were detonated; next to the Anti-Monitor&#10;New Warworld; were contained; by a shield&#10;Guy Gardner; brought; down New Warworld&#10;the Yellow Central Power Battery; were detonated; next to the Anti-Monitor&#10;even this; to kill; Power enough him&#10;the Yellow Central Power Battery; were contained; by a shield&#10;a shield; created; by hundreds of Green Lanterns to contain the explosion&#10;even this; was not; enough to kill him&#10;Guy Gardner; brought; down the Yellow Central Power Battery
96,Langford kept Walcott at a distance with his longer reach and used his footwork to evade all of Walcott \'s attacks .,96a,Langford; kept; Walcott at a distance with his longer reach&#10;Langford; used; his footwork to evade all of Walcott \'s attacks&#10;Langford; used his footwork to evade; all of Walcott \'s attacks,96b,Langford; kept; Walcott at a distance with his longer reach&#10;Langford; used; his footwork to evade all of Walcott \'s attacks&#10;Langford; used his footwork to evade; all of Walcott \'s attacks
29,"Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .",29a,"Curley; was; the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state&#10;the first classical organist; to perform; a solo organ recital at the White House&#10;Curley the first classical organist; also played; before several European heads of state",29b,Curley; was; the first classical organist to perform a solo organ recital at the White House&#10;the first classical organist; to perform; a solo organ recital at the White House&#10;Curley; played; before several European heads of state
56,"Hoechst 33342 and 33258 are quenched by Bromodeoxyuridine , which is commonly used to detect dividing cells .",56a,Hoechst 33342 and 33258; are quenched; by Bromodeoxyuridine&#10;Bromodeoxyuridine; is commonly used; to detect dividing cells&#10;Bromodeoxyuridine; to detect; dividing cells,56b,Hoechst 33342; are quenched; by Bromodeoxyuridine&#10;Hoechst 33258; are quenched; by Bromodeoxyuridine&#10;Bromodeoxyuridine; is commonly used; to detect dividing cells&#10;Bromodeoxyuridine; to detect; dividing cells
58,"However , after pressure campaigns from various human rights groups , BAE Systems recently stated it no longer produces land mines or cluster bombs .",58a,BAE Systems; stated; it no longer produces land mines or cluster bombs&#10;it; produces; land mines or cluster bombs no longer,58b,BAE Systems; stated; it no longer produces land mines&#10;it; produces; land mines no longer&#10;BAE Systems; stated; it no longer produces cluster bombs&#10;it; produces; cluster bombs no longer
82,"In the early 19th century the Welsh Methodists broke away from the Anglican church and established their own denomination , now the Presbyterian Church of Wales .",82a,the Welsh Methodists; broke; away from the Anglican church In the early 19th century&#10;the Welsh Methodists; established; their own denomination,82b,the Welsh Methodists; broke; away from the Anglican church In the early 19th century&#10;the Welsh Methodists; established; their own denomination In the early 19th century
71,"In 2011 , major vendors launched several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI .",71a,major vendors; launched; several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI In 2011&#10;several consumer-oriented motherboards; using; the Intel 6-series LGA 1155 chipset and AMD 9 Series AM3 + chipsets with UEFI,71b,major vendors; launched; several consumer-oriented motherboards using the Intel 6-series LGA 1155 chipset UEFI In 2011&#10;several consumer-oriented motherboards; using; the Intel 6-series LGA 1155 chipset UEFI&#10;major vendors; launched; several consumer-oriented motherboards using AMD 9 Series AM3 + chipsets with UEFI In 2011&#10;several consumer-oriented motherboards; using; AMD 9 Series AM3 + chipsets with UEFI
0,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .,0a,32.7 % of all households; were made up; of individuals and %&#10;15.7 %; had; someone living alone who was 65 years of age or older&#10;someone living alone; was; 65 years of age or older,0b,32.7 % of all households; were made up; of individuals&#10;15.7 %; had; someone living alone&#10;someone living alone; was; 65 years of age&#10;15.7 %; had; someone living alone who was older&#10;someone alone; living; who was older&#10;someone living alone; was; older
36,Each of the Matoran brought their Toa stone and met each other at the Great Temple .,36a,Each of the Matoran; brought; their Toa stone&#10;Each of the Matoran; met; each other at the Great Temple,36b,Each of the Matoran; brought; their Toa stone&#10;Each of the Matoran; met; each other at the Great Temple
79,"In the 1986 television series \`\` War and Remembrance \'\' , Johns took the role of the senior Nazi SS officer Adolf Eichmann .",79a,Johns; took; the role of the senior Nazi SS officer Adolf Eichmann In the 1986 television series&#10;Adolf Eichmann; senior officer; Nazi SS,79b,Johns; took; the role of the senior Nazi SS officer Adolf Eichmann In the 1986 television series \`\` War&#10;Johns; took; the role of the senior Nazi SS officer Adolf Eichmann In the 1986 television series&#10;Adolf Eichmann; senior officer; Nazi SS
49,He also possesses enhanced senses and can track people for great distances over open terrain and his feet are sensitive enough to detect electronic signals through solid walls and floors .,49a,He; possesses; enhanced senses track over&#10;He; can track; people for great distances over open terrain and his feet are to detect electronic signals walls floors&#10;his feet; are; sensitive enough to detect electronic signals through solid walls and floors&#10;his feet; to detect; electronic signals,49b,He; possesses; enhanced senses&#10;He; can track; people for great distances over open terrain&#10;his feet; are; sensitive enough to detect electronic signals through solid walls&#10;his feet; are; sensitive enough to detect electronic signals through solid floors&#10;his feet; to detect; electronic signals
93,"Keats \'s long and expensive medical training with Hammond and at Guy \'s Hospital led his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that at this point Keats had a genuine desire to become a doctor .",93a,"Keats \'s long and expensive medical training with Hammond and at Guy \'s Hospital; led; his family to assume he would pursue a lifelong career in medicine , assuring financial security , and it seems that point Keats had a genuine desire&#10;Keats; to become; desire a doctor&#10;his family; to assume; he would pursue a lifelong career in medicine , assuring financial security , and it seems that point&#10;he; would pursue; a lifelong career in medicine , assuring financial security",93b,"Keats a genuine desire; to become; a doctor&#10;Keats \'s long medical training with Hammond; led; his family to assume he would pursue a lifelong career in medicine , assuring financial security&#10;Keats \'s long medical training at Guy \'s Hospital; led; his family to assume he would pursue a lifelong career in medicine , assuring financial security&#10;Keats \'s expensive medical training with Hammond; led; his family to assume he would pursue a lifelong career in medicine , assuring financial security&#10;he; would pursue a lifelong career in medicine assuring; financial security&#10;Keats \'s expensive medical training at Guy \'s Hospital; led; his family to assume he would pursue a lifelong career in medicine , assuring financial security&#10;his family; to assume; he would pursue a lifelong career in medicine , assuring financial security&#10;he; would pursue; a lifelong career in medicine , assuring financial security&#10;he; would pursue assuring; financial security"
3,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the \`\` TV8 \'\' network between the three stations , changed to the \`\` Southern Cross Network \'\' seven years later .",3a,"A common name , logo , and programming schedule; followed; in 1982&#10;1982 the establishment of the \`\` TV8 \'\' network between the three stations; changed; to the \`\` Southern Cross Network seven years later",3b,"A common name; followed; in 1982&#10;A common logo; followed; in 1982&#10;A common programming schedule; followed; in 1982&#10;followed in 1982 , with the establishment of the \`\` TV8 \'\' network between the three stations; changed; to the \`\` Southern Cross Network seven years later"
38,Erotica and pornography involving sex between women have been predominantly produced by men for a male and female audience .,38a,Erotica and pornography; involving; sex between women&#10;Erotica and pornography involving sex between women; have been predominantly produced; by men for a male and female audience,38b,Erotica; have been predominantly produced; by men for a male audience&#10;Erotica; have been predominantly produced; by men for a female audience&#10;pornography involving sex between women; have been predominantly produced; by men for a male audience&#10;pornography; involving; sex between women&#10;pornography involving sex between women; have been predominantly produced; by men for a female audience
4,"A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .",4a,A spectrum from a single FID; has; a low signal-to-noise ratio&#10;it; fortunately improves readily;,4b,A spectrum from a single FID; has; a low signal-to-noise ratio&#10;it; improves readily; with averaging of repeated acquisitions
83,"In the north and east inhabitants speak Bumthangkha , and in the extreme southeast Khengkha is spoken .",83a,east inhabitants; speak; Bumthangkha extreme In the north and&#10;Khengkha; is spoken; in the extreme southeast,83b,Khengkha; is spoken; in the extreme southeast&#10;In the north inhabitants; speak; Bumthangkha&#10;In the east inhabitants; speak; Bumthangkha
12,An animal that cares for its young but shows no other sociality traits is said to be \`\` subsocial \'\' .,12a,An animal; cares; for its young&#10;An animal; shows; no other sociality traits&#10;An animal that cares for its young but shows no other sociality traits; is said;&#10;An animal that cares for its young but shows no other sociality traits; to be; subsocial,12b,An animal; cares; for its young&#10;An animal that cares for its young; is said;&#10;An animal that cares for its young; to be; subsocial&#10;An animal; shows; no other sociality traits&#10;An animal that shows no other sociality traits; is said;&#10;An animal that shows no other sociality traits; to be; subsocial
13,An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .,13a,An original limited artist edition of 250; was published; in 1989&#10;An original limited artist edition of 250; was; an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover&#10;an oversized fine press slip-cased book with stainless steel; faced; boards and digital clock inset into the front cover&#10;an oversized fine press slip-cased book with stainless steel faced boards and digital clock; inset; into the front cover,13b,An original limited artist edition of 250; was published; in 1989&#10;An original limited artist edition of 250; was; an oversized fine press slip-cased book with stainless steel faced boards&#10;stainless steel; faced; boards&#10;An original limited artist edition of 250; was; an oversized fine press slip-cased book with digital clock inset into the front cover&#10;an oversized fine press slip-cased book with digital clock; inset; into the front cover
50,"He also took 124 wickets , with 7 for 39 and 6 for 44 against Sargodha in 1962-63 his best bowling figures .",50a,He; took; 124 wickets,50b,He; took; 124 wickets
21,"At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .",21a,these services; are provided; in compliance with state and federal law At no cost to the parents&#10;these services; are reasonably calculated; to yield meaningful educational benefit and student progress&#10;these services; to yield; meaningful educational benefit and student progress,21b,these services; are provided; in compliance with state law At no cost to the parents&#10;these services; are provided; in compliance with federal law At no cost to the parents&#10;these services; are reasonably calculated; to yield meaningful educational benefit At no cost to the parents&#10;these services; to yield; meaningful educational benefit&#10;these services; are reasonably calculated; to yield student progress At no cost to the parents&#10;these services; to yield; student progress
53,"He talked to McGee about using his name and received permission , which is confirmed by correspondence between McGee and his family .",53a,"He; received; permission , which is confirmed by correspondence between McGee and his family&#10;permission; is confirmed; by correspondence between McGee and his family&#10;He; talked; to McGee about using his name received permission&#10;He; talked to McGee about using; his name",53b,"He; talked; to McGee about using his name&#10;He; talked to McGee about using; his name&#10;He; received; permission , which is confirmed by correspondence between McGee and his family&#10;permission; is confirmed; by correspondence between McGee and his family"
35,"During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union , and the name of the team was changed to Brumbies Rugby .",35a,the ACT Rugby Union; was renamed; the ACT and Southern NSW Rugby Union During the off-season&#10;the name of the team; was changed; to Brumbies Rugby,35b,the name of the team; was changed; to Brumbies Rugby During the off-season&#10;the ACT Rugby Union; was renamed; the ACT Rugby Union During the off-season&#10;the ACT Rugby Union; was renamed; the Southern NSW Rugby Union During the off-season
59,"However , comic relief sidekick \`\` Mike McGurk \'\' bears some resemblance to Tracy \'s partner from the strip , Pat Patton ; Tracy \'s secretary , Gwen Andrews , provides the same kind of feminine interest as Tess Trueheart ; and FBI Director Clive Anderson is the same kind of avuncular superior as Chief Brandon .",59a,FBI Director Clive Anderson; is; the same kind of avuncular superior as Chief Brandon&#10;Tracy \'s secretary; provides; the same kind of feminine interest as Tess Trueheart&#10;comic relief sidekick \`\` McGurk secretary; bears; some resemblance to Tracy \'s partner from the strip,59b,comic relief sidekick \`\` Mike McGurk; bears; some resemblance to Tracy \'s partner from the strip&#10;Pat Patton; partner from; Tracy the strip&#10;Tracy \'s secretary; provides; the same kind of feminine interest as Tess Trueheart&#10;Gwen Andrews; secretary; Tracy&#10;FBI Director Clive Anderson; is; the same kind of avuncular superior as Chief Brandon
54,"He was subsequently reprieved for a month , and then again for a week .",54a,He; was reprieved then again; for a month for a subsequently,54b,He; was reprieved; for a month subsequently&#10;He; was; subsequently for a week
18,"As of \`\` A Wind in the Door \'\' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .",18a,"Sandy; aspires; to become a banker , on the grounds that it is practical and lucrative As of A Wind in the Door&#10;Sandy; to become; a banker&#10;it; is; practical and lucrative",18b,"Sandy; aspires; to become a banker , on the grounds that it is practical As A Wind in Door&#10;it; is; practical&#10;Sandy; aspires; to become a banker , on the grounds that it is lucrative As of \`\` A Wind in the Door&#10;Sandy; to become; a banker&#10;it; is; lucrative"
24,"Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .",24a,Beast; can outperform; any Olympic-level athlete&#10;Beast; can outperform any Olympic-level athlete contorting gracefully; his body aerial feats&#10;Beast; can outperform any Olympic-level athlete performing gracefully; aerial feats,24b,Beast; can outperform any Olympic-level athlete contorting; his body&#10;Beast; can outperform; any Olympic-level athlete&#10;Beast; can outperform any Olympic-level athlete performing gracefully; aerial feats
46,"HTB \'s aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .",46a,HTB \'s aim; is; for an Alpha course to be accessible to anyone&#10;an Alpha course; to be; accessible to anyone&#10;anyone; would like; to attend the course&#10;anyone; to attend; the course&#10;HTB; seeks; to spread the teachings of Christianity,46b,HTB \'s aim; is; for an Alpha course be accessible to anyone&#10;an Alpha course; to be; accessible to anyone&#10;anyone; would like; to attend the course&#10;anyone; would like to attend; the course&#10;HTB; seeks; to spread the teachings of Christianity this way&#10;HTB; seeks to spread; the teachings of Christianity
63,"If given this data , the Germans would be able to adjust their aim and correct any shortfall .",63a,the Germans; would be; able to adjust their aim and correct any shortfall&#10;the Germans; to adjust; their aim&#10;the Germans; correct; any shortfall,63b,the Germans; would be; able to adjust their aim&#10;the Germans; to adjust; their aim&#10;the Germans; would be; able to correct any shortfall&#10;the Germans; to correct; any shortfall
23,"Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .",23a,Barbara; to leave; behind her vigilante life&#10;Barbara; fought; a mugger&#10;Barbara; miscarried; her child ultimately,23b,Barbara; to leave; behind her vigilante life&#10;Barbara; fought; a mugger&#10;Barbara however; to leave miscarried; behind her vigilante life her child&#10;Barbara however; miscarried; her child ultimately
61,"However , it became far less safe for the Nationals from 1983 onward , and strong population growth over the last three decades has seen it progressively lose its rural territory and reduced it to a more coastal-based and urbanised division .",61a,it; became; far less safe for the Nationals from 1983 onward&#10;it; reduced; it to a more coastal-based and urbanised division&#10;strong population growth over the last three decades; has seen; it progressively lose its rural territory and reduced it to a more coastal-based and urbanised division&#10;it; progressively lose; its rural territory,61b,it; became; far less safe for the Nationals 1983 onward from&#10;strong population growth over the last three decades; has seen; it progressively lose its rural territory&#10;it; progressively lose; its rural territory&#10;strong population growth over the last three decades; has reduced; it to a more coastal-based division&#10;strong population growth over the last three decades; has reduced; it to a more urbanised division
65,"In 1972 , he won from Yakutpura and later in 1978 , again from Charminar .",65a,"he; won; from Yakutpura and later in 1978 , again from Charminar In 1972",65b,he; won; from Yakutpura In 1972
26,"By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police .",26a,Simpson; had returned; to his mansion in Brentwood By this point&#10;Simpson; had surrendered; to police,26b,Simpson; had returned; to his mansion in Brentwood By this point&#10;Simpson; had surrendered; to police By this point
17,"As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .",17a,"Armah; contrasts; the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure As in his first novel",17b,"Armah; contrasts; the two worlds of materialism , two worlds of integrity As in his first novel&#10;Armah; contrasts; the two worlds of materialism , two worlds of social pressure As in his first novel&#10;Armah; contrasts; the two worlds of moral values , two worlds of integrity As in his first novel&#10;Armah; contrasts; the two worlds of moral values , two worlds of social pressure As in his first novel&#10;Armah; contrasts; the two worlds of corruption , two worlds of integrity As in his first novel&#10;Armah; contrasts; the two worlds of corruption , two worlds of social pressure As in his first novel&#10;Armah; contrasts; the two worlds of dreams , two worlds of integrity As in his first novel&#10;Armah; contrasts; the two worlds of dreams , two worlds of social pressure As in his first novel"
22,"At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .",22a,Ballard; is nearly possessed; At one point&#10;they; believe; that the humans are invaders and plan to exterminate the humans on Mars&#10;Ballard; resists; when she is given a drug and discovers&#10;she; is given; a drug and that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars&#10;she the spirits; are attacking; them as they believe that the humans are invaders and plan to exterminate the humans on Mars,22b,Ballard; is nearly possessed; At one point&#10;Ballard; resists; when she is given a drug At one point&#10;she; is given; a drug&#10;Ballard; resists; when she discovers that the spirits are attacking them At one point&#10;she; discovers; that the spirits are attacking them as they believe that the humans are invaders&#10;the spirits; are attacking; them as they believe that the humans are invaders&#10;they; believe; that the humans are invaders&#10;the humans; are; invaders&#10;Ballard; resists; when she plan to exterminate the humans on Mars At one point&#10;she; plan; to exterminate the humans on Mars&#10;she; plan to exterminate; the humans on Mars
16,"As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action .",16a,the French kings; sent; commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action As early as the 15th century&#10;the French kings commissioners to the provinces; to inspect; on royal and administrative affairs&#10;the French kings; sent to take; necessary action,16b,the French kings; sent; commissioners to the provinces to take necessary action As early as the 15th century&#10;the French kings; commissioners to take; necessary action&#10;the French kings; sent; commissioners to the provinces to inspect on royal affairs As early as the 15th century&#10;the French kings; sent commissioners to inspect; on royal affairs&#10;the French kings; sent; commissioners to the provinces to inspect on administrative affairs As early as the 15th century&#10;the French kings; sent commissioners to inspect; on administrative affairs
69,"In 2006 they applied for National League Three , finishing in 5th place and qualifying for the play-offs , where they lost to St Albans Centurions .",69a,they; applied; for National League Three In 2006&#10;they; finishing; in 5th place and qualifying for the play-offs&#10;they; lost; to St Albans Centurions the play-offs,69b,"they; finishing; in 5th place&#10;they; applied; for National League Three In 2006&#10;they; qualifying; for the play-offs , where&#10;they; lost; to St Albans Centurions the play-offs"
41,"From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .",41a,"areas; designated; as smoking areas From the start of the first semester of 2010&#10;the University; banned; smoking on any of its property , including inside and outside buildings in areas From the start of the first semester of 2010&#10;the University; banned smoking; on any of its property , including inside and outside buildings in areas",41b,"the University; banned; smoking on any of its property , including inside buildings in areas From the start of the first semester of 2010&#10;the University; banned smoking; on any of its property , including inside buildings in areas&#10;areas; designated; as smoking areas From the start of the first semester of 2010&#10;the University; banned; smoking on any of its property , including outside buildings in areas From the start of the first semester of 2010&#10;the University; banned smoking; on any of its property , including outside buildings in areas"
31,"Dodo was originally intended to have a \`\` common \'\' accent , and is portrayed this way at the end of \`\` The Massacre \'\' .",31a,Dodo; was intended; to have a \`\` common \'\' accent originally&#10;Dodo; to have; a \`\` common \'\' accent&#10;Dodo; is portrayed; this at the end of \`\` The Massacre,31b,Dodo; was intended; to have a originally&#10;Dodo; to have; a&#10;Dodo; is portrayed way; at the end of \`\` The Massacre
45,"Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .",45a,Godzilla and Battra; battled; on the ocean floor until they caused a rift to open between tectonic plates&#10;they; caused; a rift to open between tectonic plates&#10;a rift; to open; between tectonic plates,45b,Godzilla; battled; on the ocean floor until they caused a rift to open between tectonic plates&#10;Battra; battled; on the ocean floor until they caused a rift to open between tectonic plates&#10;they; caused; a rift to open between tectonic plates&#10;a rift; to open; between tectonic plates
7,After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .,7a,1895 cable; hauling ceased;&#10;After 1895 cable hauling; ceased;&#10;locomotives; pulled; trains,7b,1895 cable; hauling ceased; After&#10;1895 cable; hauling ceased;&#10;After 1895 locomotives; pulled; trains the whole length of the Victoria tunnels&#10;After 1895 locomotives; pulled; trains the whole length of the Waterloo tunnels
11,"Although under constant attack from kamikazes as well as fighters and dive-bombers , \`\` Hazelwood \'\' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .",11a,Hazelwood; came; through the invasion untouched and on the night of 25 February with her guns under constant attack from kamikazes as well as fighters and dive-bombers&#10;Hazelwood; sank; two small enemy freighters with her guns on the night of 25 February,11b,Hazelwood; came; through the invasion untouched under constant attack from kamikazes as well as fighters&#10;Hazelwood; came; through the invasion untouched under constant attack from kamikazes as well as dive-bombers&#10;Hazelwood \'\' on the night of 25 February; sank; two small enemy freighters with her guns
40,"Falun Gong \'s teachings are compiled from Li \'s lectures , and Li holds definitional power in that belief system .",40a,Falun Gong \'s teachings; are compiled; from Li \'s lectures&#10;Li; holds; definitional power in that belief system,40b,Falun Gong \'s teachings; are compiled; from Li \'s lectures&#10;Li; holds; definitional power in that belief system
